Date,P/E,P/B,Div Yield,Open,High,Low,Close,Volume,Turnover,Earnings
2009-03-31,14.94,2.47,2.25,,,,1341.89,,,89.8186077643909
2010-03-31,19.48,4.81,0.76,,,,3206.79,,,164.61960985626283
2011-03-31,19.82,4.65,1.12,,,,3862.41,,,194.87436932391523
2012-03-30,20.87,4.04,1.95,4126.1,4222.75,4115.85,4207.0,27793435.0,6609400000.000001,201.58121705797794
2013-03-28,20.67,3.86,1.71,4241.75,4241.75,4179.45,4224.6,31812520.0,9936700000.0,204.38316400580553
2014-03-31,26.55,4.86,1.12,5771.4,5828.65,5742.9,5803.2,37832309.0,7847900000.0,218.57627118644066
2015-03-31,54.22,6.8,0.81,8605.8,8703.7,8573.85,8621.75,41827698.0,14504700000.0,159.0142014016968
2016-03-31,34.07,6.16,0.81,8086.4,8125.5,8037.7,8087.6,46851206.0,27121800000.0,237.3818608746698
2017-03-31,34.52,6.34,0.77,9845.9,9905.6,9835.05,9880.2,28672892.0,17592300000.0,286.21668597914254
2018-03-28,35.08,5.81,0.64,10803.55,10911.7,10787.05,10821.35,52828539.0,35963500000.0,308.4763397947549
2019-03-29,23.25,4.09,1.19,8257.3,8381.05,8236.35,8335.35,73542604.0,31668200000.0,358.50967741935483
2020-03-31,15.49,2.07,2.34,4787.8,4794.3,4630.2,4731.3,111576333.0,26356900000.0,305.4422207876049
