Date,P/E,P/B,Div Yield,Open,High,Low,Close,Volume,Turnover,Earnings
2009-03-31,8.69,1.62,2.08,4272.2,4365.95,4196.85,4336.45,150742874,15354800000.0,499.01611047180666
2010-03-31,15.76,3.16,0.94,10784.0,10822.4,10740.15,10773.75,67430916,19058600000.0,683.6135786802031
2011-03-31,16.18,3.11,1.06,11285.4,11355.35,11163.5,11279.55,101361842,25940500000.0,697.129171817058
2012-03-30,15.87,2.33,1.48,10165.75,10468.95,10165.75,10450.2,101789407,17492600000.0,658.4877126654065
2013-03-28,16.84,2.1,1.41,11038.8,11241.05,10983.4,11222.8,132545273,24382100000.0,666.4370546318289
2014-03-31,17.28,2.31,1.45,13358.45,13488.2,13319.55,13469.05,119960149,26191500000.0,779.458912037037
2015-03-31,22.81,2.94,1.09,19510.2,19588.05,19347.8,19441.7,63870309,26277100000.0,852.3323103901798
2016-03-31,22.02,2.65,1.73,18689.5,18808.15,18568.35,18756.6,146306203,42650900000.0,851.7983651226158
2017-03-31,27.19,3.47,1.34,25066.25,25161.7,25026.1,25119.45,128091643,32757500000.0,923.8488414858404
2018-03-28,34.65,3.34,1.16,28734.5,28848.65,28428.55,28545.25,242619429,64093300000.0,823.8167388167388
2019-03-29,45.45,4.17,0.9,28019.9,28307.05,27980.25,28281.9,468090289,69883800000.0,622.2640264026403
2020-03-31,56.53,2.79,1.56,20788.05,21194.7,20429.35,21116.25,392164493,48457299999.99999,373.5405979126128
