Date,P/E,P/B,Div Yield,Open,High,Low,Close,Volume,Turnover,Earnings
2009-03-31,14.29,2.5,1.85,2981.7,3054.3,2966.4,3020.95,341399212,90225200000.0,211.40307907627712
2010-03-31,22.33,3.7,0.94,5260.4,5293.9,5235.15,5249.1,147618695,65421800000.0,235.06941334527545
2011-03-31,22.14,3.7,1.07,5803.05,5872.0,5778.65,5833.75,219441114,117412500000.0,263.4936766034327
2012-03-30,18.71,3.01,1.5,5206.6,5307.1,5203.65,5295.55,164790056,60829300000.0,283.0331373597007
2013-03-28,17.57,3.01,1.46,5647.75,5692.95,5604.85,5682.55,209658945,83723500000.0,323.42344906089926
2014-03-31,18.86,3.23,1.37,6723.15,6730.05,6662.4,6704.2,177579421,77433000000.0,355.47189819724287
2015-03-31,22.7,3.65,1.28,8527.6,8550.45,8454.15,8491.0,177059509,81083600000.0,374.05286343612335
2016-03-31,20.89,3.1,1.49,7727.65,7777.6,7702.0,7738.4,391914059,159187400000.0,370.43561512685494
2017-03-31,23.26,3.5,1.25,9158.9,9191.7,9152.1,9173.75,196771674,109550500000.0,394.4002579535683
2018-03-28,24.66,3.42,1.29,10143.6,10158.35,10096.9,10113.7,354977198,188074800000.0,410.1257096512571
2019-03-29,29.01,3.71,1.13,11625.45,11630.35,11570.15,11623.9,416276981,205152500000.0,400.68597035504996
2020-03-31,19.38,2.45,1.77,8529.35,8678.3,8358.0,8597.75,713390935,274013000000.0,443.640350877193
